VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[P]"     ,     "rms[U]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[V]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   
          0,           0,          99,      -1.692277365,      -1.692277365,      -1.033733952,      -1.033733952,      -1.216109672,      -1.216109672,       5.427857489,    -0.02632175548,                 0,                 0,                 0,    0.001527874915,       5.427857489,    -0.02632175548,                 0,   -0.004849382197,     -0.7223517732,     -0.9008945791,     -0.3091079921
          1,           0,          99,      -2.131371084,      -2.131371084,      -1.092866328,      -1.092866328,      -1.220175099,      -1.220175099,     -0.0553126458,   -0.007436597802,                 0,                 0,                 0,    -0.04763193382,     -0.0553126458,   -0.007436597802,                 0,      0.1344466115,     -0.4680994467,     -0.2798158577,     -0.3196627504
          2,           0,          99,      -2.086599699,      -2.086599699,      -1.090722737,      -1.090722737,       -1.17100496,       -1.17100496,       3.323000083,     -0.1706933512,                 0,                 0,                 0,     -0.3829701484,       3.323000083,     -0.1706933512,                 0,    -0.05136724253,     -0.2476929865,      -0.268306942,     -0.1656995045
          3,           0,          99,      -2.172037719,      -2.172037719,      -1.223325417,      -1.223325417,      -1.350722192,      -1.350722192,       0.714468856,     -0.2877115011,                 0,                 0,                 0,     -0.3158887273,       0.714468856,     -0.2877115011,                 0,     -0.4026928518,    -0.08823234935,      -0.243260094,     -0.2842379136
          4,           0,          99,      -2.170085041,      -2.170085041,      -1.241231614,      -1.241231614,      -1.773464791,      -1.773464791,       1.577889907,     0.06529682954,                 0,                 0,                 0,    -0.05061690625,       1.577889907,     0.06529682954,                 0,     0.04138237355,    -0.01733112525,     -0.2019339707,     -0.4971513468
          5,           0,          99,      -2.240475749,      -2.240475749,        -1.2414805,        -1.2414805,      -1.651889239,      -1.651889239,       2.452086102,    -0.01150725977,                 0,                 0,                 0,      0.3107563816,       2.452086102,    -0.01150725977,                 0,   -0.004692844904,     -0.1283352072,     -0.2531337958,     -0.2712106628
          6,           0,          99,      -2.271161036,      -2.271161036,      -1.239968654,      -1.239968654,      -1.544064908,      -1.544064908,       0.916747904,      0.1671625683,                 0,                 0,                 0,      0.2613532929,       0.916747904,      0.1671625683,                 0,      0.1823430057,     -0.1355221717,     -0.2599788462,     -0.1450073134
          7,           0,          99,       -2.27534075,       -2.27534075,      -1.264045643,      -1.264045643,       -1.58432305,       -1.58432305,       2.422291328,      0.1092172868,                 0,                 0,                 0,      0.1057202797,       2.422291328,      0.1092172868,                 0,     0.04508841918,      -0.107384039,     -0.2768062955,     -0.1804001837
          8,           0,          99,      -2.275704501,      -2.275704501,      -1.302726532,      -1.302726532,      -1.727176193,      -1.727176193,       1.344559882,     0.02926155733,                 0,                 0,                 0,     -0.1084268372,       1.344559882,     0.02926155733,                 0,     0.02176292609,    -0.06152611246,     -0.3052199924,     -0.4870660662
          9,           0,          99,      -2.251076836,      -2.251076836,      -1.358361827,      -1.358361827,      -1.814194876,      -1.814194876,       1.784192059,        0.11604086,                 0,                 0,                 0,      0.1372331351,       1.784192059,        0.11604086,                 0,     0.06503832335,    -0.02295203057,     -0.3243780259,     -0.2881036559
